Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
1,12,512,512,100,10,row,1.398,4.60361,3.56685
1,12,512,512,100,10,row,1.3689,4.78131,3.57373
1,12,512,512,100,10,row,1.34863,4.71766,3.77935
1,12,512,512,100,10,row,1.42754,4.69311,3.88757
1,12,512,512,100,10,row,1.43996,4.66679,3.80269
1,12,512,512,100,10,row,1.27718,4.47058,3.69237
1,12,512,512,100,10,row,1.12355,4.84652,3.71543
1,12,512,512,100,10,row,1.24192,4.91949,3.74132
1,12,512,512,100,10,row,1.28419,4.69599,3.693
1,12,512,512,100,10,row,1.33417,4.74563,3.78758
1,12,512,512,100,10,row,1.34093,4.82067,3.6367
1,12,512,512,100,10,row,0.73998,3.2641,2.53341
1,12,512,512,100,10,row,0.844983,3.03245,2.5038
3,1,512,512,100,10,row,9.72009,9.72009,9.72009
3,1,512,512,100,10,row,9.82019,9.82019,9.82019
3,1,512,512,100,10,row,9.82891,9.82891,9.82891
3,1,512,512,100,10,row,9.62056,9.62056,9.62056
3,1,512,512,100,10,row,9.59007,9.59007,9.59007
3,1,512,512,100,10,row,9.65975,9.65975,9.65975
3,1,512,512,100,10,row,9.55214,9.55214,9.55214
3,1,512,512,100,10,row,9.5203,9.5203,9.5203
3,1,512,512,100,10,row,9.54235,9.54235,9.54235
3,1,512,512,100,10,row,9.41828,9.41828,9.41828
3,1,512,512,100,10,row,9.46064,9.46064,9.46064
3,1,512,512,100,10,row,9.38842,9.38842,9.38842
3,1,512,512,100,10,row,9.34607,9.34607,9.34607
3,1,512,512,100,10,row,9.37949,9.37949,9.37949
3,1,512,512,100,10,row,9.39266,9.39266,9.39266
3,1,512,512,100,10,row,9.35757,9.35757,9.35757
3,1,512,512,100,10,row,9.25556,9.25556,9.25556
3,1,512,512,100,10,row,9.29004,9.29004,9.29004
3,1,512,512,100,10,row,8.5845,8.5845,8.5845
3,1,512,512,100,10,row,8.59909,8.59909,8.59909
3,2,512,512,100,10,row,5.60218,6.66703,6.13461
3,2,512,512,100,10,row,5.35914,6.6711,6.01512
3,2,512,512,100,10,row,5.439,6.6822,6.0606
3,2,512,512,100,10,row,5.22058,6.48604,5.85331
3,2,512,512,100,10,row,5.27891,6.51863,5.89877
3,2,512,512,100,10,row,5.0553,6.65153,5.85342
3,2,512,512,100,10,row,5.33045,6.40082,5.86564
3,2,512,512,100,10,row,5.11547,6.4875,5.80149
3,2,512,512,100,10,row,5.12203,6.47864,5.80034
3,2,512,512,100,10,row,5.314,6.35023,5.83211
3,2,512,512,100,10,row,5.14993,6.52893,5.83943
3,2,512,512,100,10,row,5.22263,6.58898,5.90581
3,2,512,512,100,10,row,5.23152,6.35189,5.7917
3,2,512,512,100,10,row,5.20079,6.49299,5.84689
3,2,512,512,100,10,row,5.2436,6.6025,5.92305
3,2,512,512,100,10,row,5.06153,6.56219,5.81186
3,2,512,512,100,10,row,5.32089,6.50751,5.9142
3,2,512,512,100,10,row,5.28519,6.4603,5.87274
3,2,512,512,100,10,row,4.76401,5.86411,5.31406
3,2,512,512,100,10,row,4.61264,5.96254,5.28759
3,4,512,512,100,10,row,3.24139,5.37206,4.76042
