Processes,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
1,512,512,10,1,row,8.83949,8.83949,8.83949
1,512,512,10,1,row,8.95254,8.95254,8.95254
1,512,512,10,1,row,8.95918,8.95918,8.95918
1,512,512,10,1,row,9.56873,9.56873,9.56873
1,512,512,10,1,row,8.39814,8.39814,8.39814
1,512,512,10,1,row,8.44988,8.44988,8.44988
1,512,512,10,1,row,8.29933,8.29933,8.29933
1,512,512,10,1,row,8.09248,8.09248,8.09248
1,512,512,10,1,row,8.61174,8.61174,8.61174
1,512,512,10,1,row,8.49048,8.49048,8.49048
1,512,512,10,1,row,8.37167,8.37167,8.37167
1,512,512,10,1,row,8.58862,8.58862,8.58862
1,512,512,10,1,row,8.7253,8.7253,8.7253
1,512,512,10,1,row,9.10691,9.10691,9.10691
1,512,512,10,1,row,8.5894,8.5894,8.5894
1,512,512,10,1,row,8.37828,8.37828,8.37828
1,512,512,10,1,row,8.68555,8.68555,8.68555
1,512,512,10,1,row,8.46176,8.46176,8.46176
1,512,512,10,1,row,8.2414,8.2414,8.2414
1,512,512,10,1,row,7.4401,7.4401,7.4401
1,512,512,10,1,row,7.4921,7.4921,7.4921
1,512,512,10,1,row,7.62232,7.62232,7.62232
1,512,512,10,1,row,7.43324,7.43324,7.43324
1,512,512,10,1,row,7.61665,7.61665,7.61665
1,512,512,10,1,row,7.54962,7.54962,7.54962
1,512,512,10,1,row,7.44124,7.44124,7.44124
1,512,512,10,1,row,7.4135,7.4135,7.4135
1,512,512,10,1,row,7.30023,7.30023,7.30023
1,512,512,10,1,row,7.45801,7.45801,7.45801
1,512,512,10,1,row,7.12729,7.12729,7.12729
1,512,512,10,1,row,7.14932,7.14932,7.14932
1,512,512,10,1,row,7.16339,7.16339,7.16339
1,512,512,10,1,row,7.17177,7.17177,7.17177
1,512,512,10,1,row,7.15725,7.15725,7.15725
1,512,512,10,1,row,7.22341,7.22341,7.22341
1,512,512,10,1,row,7.21838,7.21838,7.21838
1,512,512,10,1,row,7.24124,7.24124,7.24124
1,512,512,10,1,row,7.23347,7.23347,7.23347
1,512,512,10,1,row,7.26617,7.26617,7.26617
1,512,512,10,1,row,7.26993,7.26993,7.26993
1,512,512,10,1,row,7.33105,7.33105,7.33105
1,512,512,10,1,row,7.33907,7.33907,7.33907
1,512,512,10,1,row,7.34943,7.34943,7.34943
1,512,512,10,1,row,7.35713,7.35713,7.35713
